1,Main Gate
2, 
3, 
4, 
5, 
6,Library
7, 
8, 
9, 
10, 
11,H-Block
12,K-Block
13, 
14, 
15, 
16,Chess Coutryard Entrance
17, 
18, 
19, 
20, 
21, 
22, 
23, 
24, 
25,Workshop
26, 
27, 
28, 
29, 
30, 
31,Cafeteria
32,E-Block
33, 
34,Rock Garden
35, 
36, 
37, 
38, 
39,D-Block Entrance
40, 
41, 
42, 
43, 
44,C-Block
45, 
46,B-Block Entrance
47, 
48,A-Block Parking
49, 
50, 
51, 
52, 
53,Football Ground
54, 
55,Shankar Bhavan
56,Mess 2
57,Vyas Bhavan
58,Wich Please
59, 
60, 
61, 
62, 
63,Vishawakarma Bhavan-Second Entrance
64, 
65, 
66, 
67, 
68, 
69,Chipotle
70,Yumpy's / Thickshake Factory
71,Gandhi Bhavan
72,Mess 1
73,Krishna Bhavan
74,Meera Bhavan
75,Ganga Bhavan
76, 
77, 
78, 
79,Malviya Bhavan
80, 
81,Student Activity Center
82, 
83,SAC Backdoor
84, 
85,New Football Ground
86,Swimming Pool
87, 
88, 
89, 
90,H8 (Staff Quarters)
91, 
92,H8 Block
93, 
94, 
95, 
96, 
97, 
98, 
99,Dean's Quarters
100, 
101, 
102, 
103,Medical Center
104,Cricket Ground
105, 
106, 
107,Amul
108,Maggi Hotspot
109,Connaut Place Entrance 2
110,Connaut Place Entrance 1
111,Tennis Court
112,Gautum Bhavan
113,Basketball Stands
114,Throwball Court
115, 
116, 
117, 
118, 
119, 
120, 
121, 
122, 
123, 
124, 
125, 
126, 
127, 
128, 
129, 
130,Vishawakarma Bhavan Entrance 1
131, 
132, 
133, 
134, 
135, 
136, 
137, 
138, 
139,Philosopher's Stone
140,Volleyball Court
