1,2,36
1,4,54
2,3,21
2,138,189
3,47,105
3,4,108
4,5,29
5,6,158
5,7,173
6,11,87
6,31,140
6,46,220
7,8,56
8,9,13
8,10,25
9,10,22
9,11,125
10,16,97
11,13,122
12,13,11
12,14,11
13,31,72
14,30,109
15,14,123
15,17,177
16,15,100
17,18,174
18,19,81
19,20,80
19,22,75
20,21,71
20,76,221
21,22,79
21,24,79
22,23,71
23,24,86
23,28,32
24,32,66
25,26,43
25,29,33
26,30,45
26,27,27
27,28,52
29,30,40
31,39,198
32,33,19
33,39,51
33,34,116
34,37,56
34,35,26
34,36,27
35,50,73
35,36,17
36,54,108
37,38,22
38,39,56
39,40,9
40,41,36
40,43,55
41,44,18
42,44,11
42,43,37
43,46,20
45,46,150
45,49,34
45,139,82
47,48,59
47,139,96
49,51,20
49,50,32
50,51,18
51,52,107
52,55,73
52,59,34
52,53,47
53,54,52
54,67,34
54,69,24
55,133,50
55,56,18
56,57,18
57,58,19
58,59,53
59,60,67
60,68,98
60,61,26
61,62,24
61,63,86
62,107,97
62,64,24
64,65,174
64,100,14
65,124,45
65,66,40
66,130,51
66,122,60
67,68,67
67,70,52
68,140,24
69,73,51
70,71,22
71,72,15
71,74,120
72,73,22
72,75,124
74,77,74
74,75,39
75,76,78
76,77,39
77,78,134
78,79,48
78,82,84
79,80,30
80,113,38
80,81,34
82,83,20
82,84,77
84,85,61
86,86,26
86,87,22
87,88,65
87,104,62
88,91,62
88,89,42
89,104,49
89,90,38
91,93,48
91,92,50
93,94,93
93,95,103
93,101,61
94,95,103
95,96,53
95,129,49
96,97,54
96,101,96
96,116,61
97,102,101
97,98,12
98,99,19
98,115,56
99,100,27
101,102,50
102,110,33
102,103,28
102,105,62
105,106,18
106,107,18
106,108,16
107,140,27
108,109,48
109,111,21
111,114,79
111,112,37
112,113,12
115,116,59
115,123,118
116,117,119
117,121,48
117,123,41
117,118,52
118,119,45
118,120,75
118,125,25
119,121,50
119,120,34
121,122,49
122,124,41
123,124,13
125,126,21
126,127,16
127,128,34
128,129,34
130,131,49
131,132,26
132,133,121
132,134,52
133,134,65
134,136,74
134,135,23
135,138,134
136,137,61
137,138,35
